"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A1"
"VT","【Q3】 TOMA"
"HT","Header A"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,,"Top 4",,,,,,"Top 4+A",,,,,,"A",,,,,,"B",,,,,,"China1+/1",,,,,,"China1+",,,,,,"China1",,,,,,"China2&3",,,,,,"China2",,,,,,"China3",,,,,,"18-24",,,,,,"25-34",,,,,,"35-44",,,,,,"45-55",,,,,,"University Student",,,,,,"25-34&China1+/1",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (c)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0,143.0,244.0,213.0,210.0,200.0,204.0,490.0,704.0,676.0,666.0,664.0,671.0,347.0,460.0,463.0,456.0,464.0,467.0,647.0,796.0,824.0,834.0,836.0,829.0,375.0,476.0,485.0,479.0,467.0,480.0,146.0,158.0,162.0,165.0,168.0,167.0,229.0,318.0,323.0,314.0,299.0,313.0,762.0,1024.0,1015.0,1021.0,1033.0,1020.0,460.0,556.0,584.0,579.0,580.0,574.0,302.0,468.0,431.0,442.0,453.0,446.0,205.0,284.0,263.0,273.0,269.0,276.0,366.0,495.0,510.0,501.0,504.0,509.0,341.0,463.0,453.0,456.0,457.0,449.0,225.0,258.0,274.0,270.0,270.0,266.0,0.0,0.0,65.0,63.0,82.0,126.0,104.0,152.0,162.0,326.0,300.0,339.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","Aupres",5.0,16.0,14.0,22.0,14.0,18.0,0.0,4.0,3.0,3.0,2.0,3.0,3.0,10.0,6.0,12.0,7.0,4.0,3.0,6.0,3.0,9.0,5.0,1.0,2.0,6.0,8.0,10.0,7.0,14.0,3.0,9.0,5.0,10.0,6.0,6.0,1.0,0.0,2.0,5.0,2.0,1.0,2.0,9.0,3.0,5.0,4.0,5.0,2.0,7.0,9.0,12.0,8.0,12.0,2.0,4.0,6.0,12.0,5.0,8.0,0.0,3.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,8.0,2.0,1.0,2.0,10.0,11.0,6.0,7.0,8.0,2.0,3.0,1.0,5.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0
"PV",,0.439753737906772,1.06666666666667,0.933333333333333,1.46666666666667,0.933333333333333,1.2,0.0,1.63934426229508,1.40845070422535,1.42857142857143,1.0,1.47058823529412,0.612244897959184,1.42045454545455,0.887573964497041,1.8018018018018,1.05421686746988,0.596125186289121,0.864553314121037,1.30434782608696,0.647948164146868,1.97368421052632,1.07758620689655,0.214132762312634,0.309119010819165,0.753768844221106,0.970873786407767,1.19904076738609,0.837320574162679,1.68878166465621,0.8,1.89075630252101,1.03092783505155,2.08768267223382,1.2847965738758,1.25,0.684931506849315,0.0,1.23456790123457,3.03030303030303,1.19047619047619,0.598802395209581,0.873362445414847,2.83018867924528,0.928792569659443,1.59235668789809,1.33779264214047,1.59744408945687,0.26246719160105,0.68359375,0.886699507389163,1.17531831537708,0.774443368828654,1.17647058823529,0.434782608695652,0.719424460431655,1.02739726027397,2.07253886010363,0.862068965517241,1.39372822299652,0.0,0.641025641025641,0.696055684454756,0.0,0.662251655629139,0.896860986547085,0.0,0.0,0.0,1.0989010989011,0.371747211895911,0.72463768115942,0.273224043715847,0.606060606060606,0.392156862745098,1.59680638722555,0.396825396825397,0.196463654223969,0.586510263929619,2.15982721382289,2.42825607064018,1.31578947368421,1.53172866520788,1.78173719376392,0.888888888888889,1.16279069767442,0.364963503649635,1.85185185185185,1.48148148148148,2.63157894736842,0.0,0.0,0.0,0.0,1.21951219512195,0.0,0.961538461538462,0.657894736842105,0.617283950617284,2.14723926380368,0.0,0.294985250737463
"MK",," "," "," ",a," ",a," ",a," "," "," "," "," "," "," ",f," "," "," "," "," ",f," "," "," "," "," ",a," ",a," "," "," "," "," "," "," "," "," ",b," "," "," "," "," "," "," "," "," "," "," ",a," ",a," "," "," ",a," "," "," "," "," "," "," ",ad," "," "," "," "," "," "," "," "," ",af," "," "," ",a,a," "," "," "," "," "," "," "," ",c," "," "," "," "," "," "," "," "," ",ef," "," "
"RW","Herborist",12.0,13.0,26.0,12.0,16.0,12.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,8.0,10.0,6.0,8.0,7.0,3.0,7.0,8.0,5.0,5.0,5.0,8.0,5.0,16.0,6.0,8.0,5.0,4.0,6.0,6.0,4.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,2.0,8.0,7.0,20.0,8.0,13.0,9.0,7.0,7.0,10.0,7.0,10.0,5.0,1.0,0.0,10.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,6.0,5.0,11.0,6.0,6.0,5.0,1.0,3.0,9.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,3.0,2.0,5.0
"PV",,1.05540897097625,0.866666666666667,1.73333333333333,0.8,1.06666666666667,0.8,0.699300699300699,0.409836065573771,0.938967136150235,0.476190476190476,1.5,0.980392156862745,0.816326530612245,1.13636363636364,1.4792899408284,0.900900900900901,1.20481927710843,1.04321907600596,0.864553314121037,1.52173913043478,1.72786177105832,1.09649122807018,1.07758620689655,1.07066381156317,1.23647604327666,0.628140703517588,1.94174757281553,0.719424460431655,0.956937799043062,0.60313630880579,1.06666666666667,1.26050420168067,1.23711340206186,0.835073068893528,0.642398286937901,0.625,0.0,0.632911392405063,0.617283950617284,1.21212121212121,0.595238095238095,0.598802395209581,1.74672489082969,1.57232704402516,1.54798761609907,0.636942675159236,0.668896321070234,0.638977635782748,1.0498687664042,0.68359375,1.97044334975369,0.783545543584721,1.25847047434656,0.882352941176471,1.52173913043478,1.2589928057554,1.71232876712329,1.20898100172712,1.72413793103448,0.871080139372822,0.33112582781457,0.0,2.32018561484919,0.226244343891403,0.662251655629139,0.896860986547085,0.975609756097561,1.40845070422535,0.760456273764259,0.732600732600733,1.48698884758364,0.36231884057971,1.63934426229508,1.01010101010101,2.15686274509804,1.19760479041916,1.19047619047619,0.982318271119843,0.293255131964809,0.647948164146868,1.98675496688742,0.43859649122807,0.437636761487965,0.66815144766147,1.33333333333333,0.387596899224806,1.45985401459854,0.740740740740741,1.48148148148148,1.12781954887218,0.0,0.0,0.0,0.0,2.4390243902439,0.793650793650794,1.92307692307692,1.31578947368421,0.0,0.920245398773006,0.666666666666667,1.47492625368732
"MK",," "," ",bdf," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",bdf," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",bdf," "," "," "," "," "," "," "," "," "," "," ",abde," "," ",b," "," "," "," "," "," "," "," "," "," "," "," "," "," ",ade," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",c
"RW","Chcedo",73.0,75.0,86.0,79.0,68.0,105.0,7.0,7.0,11.0,4.0,7.0,15.0,28.0,25.0,35.0,24.0,22.0,46.0,21.0,18.0,24.0,20.0,15.0,31.0,45.0,50.0,51.0,55.0,46.0,59.0,14.0,9.0,18.0,28.0,20.0,39.0,5.0,4.0,5.0,7.0,4.0,16.0,9.0,5.0,13.0,21.0,16.0,23.0,59.0,66.0,68.0,51.0,48.0,66.0,34.0,35.0,47.0,33.0,31.0,36.0,25.0,31.0,21.0,18.0,17.0,30.0,11.0,14.0,14.0,16.0,12.0,29.0,35.0,33.0,33.0,34.0,26.0,49.0,17.0,19.0,22.0,21.0,18.0,16.0,10.0,9.0,17.0,8.0,12.0,11.0,0.0,0.0,0.0,4.0,2.0,11.0,6.0,4.0,7.0,19.0,10.0,30.0
"PV",,6.42040457343887,5.0,5.73333333333333,5.26666666666667,4.53333333333333,7.0,4.8951048951049,2.86885245901639,5.16431924882629,1.9047619047619,3.5,7.35294117647059,5.71428571428571,3.55113636363636,5.17751479289941,3.6036036036036,3.31325301204819,6.85543964232489,6.05187319884726,3.91304347826087,5.18358531317495,4.3859649122807,3.23275862068966,6.63811563169165,6.95517774343122,6.28140703517588,6.18932038834951,6.5947242206235,5.50239234449761,7.11700844390832,3.73333333333333,1.89075630252101,3.71134020618557,5.8455114822547,4.28265524625268,8.125,3.42465753424658,2.53164556962025,3.08641975308642,4.24242424242424,2.38095238095238,9.58083832335329,3.93013100436681,1.57232704402516,4.02476780185759,6.68789808917197,5.35117056856187,7.3482428115016,7.74278215223097,6.4453125,6.69950738916256,4.9951028403526,4.64666021297193,6.47058823529412,7.39130434782609,6.29496402877698,8.04794520547945,5.69948186528497,5.3448275862069,6.27177700348432,8.27814569536424,6.62393162393162,4.8723897911833,4.07239819004525,3.75275938189845,6.72645739910314,5.36585365853659,4.92957746478873,5.32319391634981,5.86080586080586,4.46096654275093,10.5072463768116,9.56284153005464,6.66666666666667,6.47058823529412,6.78642714570858,5.15873015873016,9.62671905697446,4.98533724340176,4.1036717062635,4.85651214128035,4.60526315789474,3.93873085339168,3.56347438752784,4.44444444444444,3.48837209302326,6.2043795620438,2.96296296296296,4.44444444444444,4.13533834586466,0.0,0.0,0.0,6.34920634920635,2.4390243902439,8.73015873015873,5.76923076923077,2.63157894736842,4.32098765432099,5.82822085889571,3.33333333333333,8.84955752212389
