"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A1"
"VT","【Q3】 TOMA"
"HT","KPI"
"BT","b1.Base-Total Respondents"
"CH",,"Rolling wave",,,,,"National",,,,,
"CL",,"Aug+Sep (a)","Sep+Nov (b)","Nov+Dec (c)","Dec+Jan (d)","Jan+March (e)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",2637.0,3000.0,3000.0,3000.0,3000.0,1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","Olay",189.0,203.0,219.0,266.0,290.0,78.0,111.0,92.0,127.0,139.0,151.0
"PV",,7.16723549488055,6.76666666666667,7.3,8.86666666666667,9.66666666666667,6.86015831134565,7.4,6.13333333333333,8.46666666666667,9.26666666666667,10.0666666666667
"MK",," "," "," ",abc,abc," "," "," ",c,abc,abc
"RW","Loreal",243.0,266.0,272.0,288.0,322.0,105.0,138.0,128.0,144.0,144.0,178.0
"PV",,9.21501706484642,8.86666666666667,9.06666666666667,9.6,10.7333333333333,9.23482849604222,9.2,8.53333333333333,9.6,9.6,11.8666666666667
"MK",," "," "," "," ",abc," "," "," "," "," ",abcde
"RW","Estee Lauder",93.0,114.0,103.0,101.0,101.0,36.0,57.0,57.0,46.0,55.0,46.0
"PV",,3.52673492605233,3.8,3.43333333333333,3.36666666666667,3.36666666666667,3.16622691292876,3.8,3.8,3.06666666666667,3.66666666666667,3.06666666666667
"MK",," "," "," "," "," "," "," "," "," "," "," "
"RW","Pechoin",182.0,206.0,194.0,208.0,232.0,78.0,104.0,102.0,92.0,116.0,116.0
"PV",,6.90178232840349,6.86666666666667,6.46666666666667,6.93333333333333,7.73333333333333,6.86015831134565,6.93333333333333,6.8,6.13333333333333,7.73333333333333,7.73333333333333
"MK",," "," "," "," ",c," "," "," "," ",d,d
"RW","Aupres",21.0,30.0,36.0,36.0,32.0,5.0,16.0,14.0,22.0,14.0,18.0
"PV",,0.796359499431172,1.0,1.2,1.2,1.06666666666667,0.439753737906772,1.06666666666667,0.933333333333333,1.46666666666667,0.933333333333333,1.2
"MK",," "," "," "," "," "," ",a," ",a," ",a
"RW","Herborist",25.0,39.0,38.0,28.0,28.0,12.0,13.0,26.0,12.0,16.0,12.0
"PV",,0.948047023132347,1.3,1.26666666666667,0.933333333333333,0.933333333333333,1.05540897097625,0.866666666666667,1.73333333333333,0.8,1.06666666666667,0.8
"MK",," "," "," "," "," "," "," ",bdf," "," "," "
"RW","Chcedo",148.0,161.0,165.0,147.0,173.0,73.0,75.0,86.0,79.0,68.0,105.0
"PV",,5.6124383769435,5.36666666666667,5.5,4.9,5.76666666666667,6.42040457343887,5.0,5.73333333333333,5.26666666666667,4.53333333333333,7.0
