"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A2"
"VT","【Q3】 TOMA"
"HT","Header B"
"BT","b1.Base-Total Respondents"
"CH",,"National","Age",,,,"City tier",,,,"Income",,,,,,"25-34&China1+/1"
"CL",,"total","18-24 (a)","25-34 (b)","35-44 (c)","45-55 (d)","Top 4 City (a)","Top 4+A (b)","A City (c)","B City (d)","China1+/1 (a)","China1+ (b)","China1 (c)","China2&3 (d)","China2 (e)","China3 (f)","(a)"
"RT","总体",1500.0,276.0,509.0,449.0,266.0,204.0,671.0,467.0,829.0,480.0,167.0,313.0,1020.0,574.0,446.0,300.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","Aupres",18.0,2.0,1.0,8.0,7.0,3.0,4.0,1.0,14.0,6.0,1.0,5.0,12.0,8.0,4.0,1.0
"PV",,1.2,0.72463768115942,0.196463654223969,1.78173719376392,2.63157894736842,1.47058823529412,0.596125186289121,0.214132762312634,1.68878166465621,1.25,0.598802395209581,1.59744408945687,1.17647058823529,1.39372822299652,0.896860986547085,0.333333333333333
"MK",," "," "," ",b,b," "," "," ",bc," "," "," "," "," "," "," "
"RW","Herborist",12.0,1.0,5.0,3.0,3.0,2.0,7.0,5.0,5.0,3.0,1.0,2.0,9.0,5.0,4.0,5.0
"PV",,0.8,0.36231884057971,0.982318271119843,0.66815144766147,1.12781954887218,0.980392156862745,1.04321907600596,1.07066381156317,0.60313630880579,0.625,0.598802395209581,0.638977635782748,0.882352941176471,0.871080139372822,0.896860986547085,1.66666666666667
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Chcedo",105.0,29.0,49.0,16.0,11.0,15.0,46.0,31.0,59.0,39.0,16.0,23.0,66.0,36.0,30.0,29.0
"PV",,7.0,10.5072463768116,9.62671905697446,3.56347438752784,4.13533834586466,7.35294117647059,6.85543964232489,6.63811563169165,7.11700844390832,8.125,9.58083832335329,7.3482428115016,6.47058823529412,6.27177700348432,6.72645739910314,9.66666666666667
"MK",," ",cd,cd," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Clinique",8.0,3.0,2.0,2.0,1.0,3.0,5.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0
